,Ban rate of champion,Image of champion,Name of champion,Pick rate of champion,Win rate of champion
151,0.70%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Xerath.webp,Xerath,2.30%,49.00%
152,0.40%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Xayah.webp,Xayah,5.90%,47.90%
153,0.10%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Ziggs.webp,Ziggs,1.10%,48.70%
154,1.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Gangplank.webp,Gangplank,4.50%,46.00%
155,6.00%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Olaf.webp,Olaf,4.10%,48.40%
156,4.90%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Graves.webp,Graves,8.70%,46.70%
157,3.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Akali.webp,Akali,2.40%,44.60%
158,0.60%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Jayce.webp,Jayce,3.30%,48.00%
159,0.40%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Amumu.webp,Amumu,1.90%,48.80%
160,1.00%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Nidalee.webp,Nidalee,4.60%,47.00%
161,0.30%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Ryze.webp,Ryze,1.20%,46.50%
162,0.30%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Ryze.webp,Ryze,3.80%,45.60%
163,1.60%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Gragas.webp,Gragas,3.80%,48.10%
164,2.20%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Sett.webp,Sett,1.90%,44.30%
165,2.80%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Lillia.webp,Lillia,7.40%,46.30%
166,0.60%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Zac.webp,Zac,2.70%,47.60%
167,0.20%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Rumble.webp,Rumble,1.20%,46.70%
168,1.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Sylas.webp,Sylas,1.40%,49.00%
169,0.30%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Yorick.webp,Yorick,1.30%,47.60%
170,3.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Lucian.webp,Lucian,3.90%,45.10%
171,3.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Lucian.webp,Lucian,7.90%,47.90%
172,14.20%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Irelia.webp,Irelia,4.10%,45.30%
173,0.20%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Kalista.webp,Kalista,1.50%,49.20%
174,30.60%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Viego.webp,Viego,2.10%,49.00%
175,30.60%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Viego.webp,Viego,2.70%,50.20%
176,30.60%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Viego.webp,Viego,8.60%,49.70%
177,0.10%,https://blitz-cdn.blitz.gg/blitz/lol/champion/TahmKench.webp,Tahm Kench,0.70%,46.90%
